Structure_Type,Component_ID,Station_mm,Stringer_ID,Material,Material_Spec,Cross_Section_mm2,Section_Modulus_mm3,Limit_Load_kN,Ultimate_Load_kN,Safety_Factor,Allowable_Fatigue_Cycles,Inspection_Interval_Flight_Cycles,Repairability,Remarks
Fuselage_Frame,FRM-001,1250,,Aluminum-7075-T6,AMS-QQ-A-225/8,1500,420000,250,375,1.5,1000000,10000,Replace_if_cracked,"Frame cap riveted to skin. Inspect for corrosion and rivet pull-through."
Fuselage_Frame,FRM-002,2500,,Aluminum-7075-T6,AMS-QQ-A-225/8,1600,450000,280,420,1.5,1000000,10000,Replace_if_cracked,"Primary frame in mid-cabin; fatigue critical at cutouts."
Frame_Web,FRW-005,3000,,Aluminum-7075-T6,AMS-QQ-A-225/8,1100,200000,180,270,1.5,1000000,10000,Repairable,"Inspect for cracks at rivet lines and web buckling."
Frame_Cap_Composite,FRM-CC-01,5000,,CFRP_Tailored,AMPEL-CFRP-TL-01,2000,650000,350,525,1.5,1000000,8000,Replace_if_exceeds_limits,"Primary cap under wing carry-through. FEA substantiation required for repairs."
Stringer,STR-S001,1250,S001,CFRP_Monolithic,AMPEL-CFRP-PLY-01,800,160000,80,120,1.5,500000,5000,Repairable_per_ATA51,"Scarf repair allowed per PROC_51-42-01. Monitor NVD (C-scan)."
Stringer,STR-S002,1250,S002,CFRP_Patch,AMPEL-CFRP-PLY-02,600,120000,60,90,1.5,500000,5000,Repairable_per_ATA51,"Minor delamination limits apply. Use certified materials only."
Stringer_Flanges,STR-F001,2500,S010,CFRP_MONO,AMPEL-CFRP-PLY-01,900,180000,90,135,1.5,500000,5000,Repairable_per_ATA51,"High-load area near door cutout. Ply orientation critical."
Stringer_web,STR-WEB-02,4000,S020,CFRP_Honeycomb,AMPEL-CFRP-CORE-01,500,90000,45,67.5,1.5,500000,5000,Repairable_per_ATA51,"Check core crush and bondline void fraction."
Floor_Beam,FBM-010,0,,Aluminum-7075-T6,AMS-QQ-A-225/8,2500,900000,450,675,1.5,1500000,8000,Replace_if_major,"Supports cabin floor loads. Torque retention critical."
Splice_Plate,SPC-001,1000,,Titanium-6Al-4V,AMS-T-9046,400,80000,50,75,1.5,1000000,10000,Replace_if_deformed,"Shear splice between frames. Inspect for fretting/corrosion."
Attachment_Flange,ATF-001,1250,,Aluminum-7075-T6,AMS-QQ-A-225/8,1200,260000,140,210,1.5,1000000,10000,Repairable,"Inspect FPI for cracks; fastener torque retention limits apply."
Stringer_Patch,STR-PAT-01,3500,S015,Aluminum-2024-T3,AMS-QQ-A-200/8,700,140000,70,105,1.5,500000,5000,Repairable,"Local repair allowed if within dimensional and load limits."
